method,function,iterations,interval,root,comp_time
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007266998291015625
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007164478302001953
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007729530334472656
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0007364749908447266
False Position,"""sin(x) + cos(x) + 1""",7,"[1.1, 4.0]",3.1415935312734673,0.0006039142608642578
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005004405975341797
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005154609680175781
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.00039267539978027344
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0004851818084716797
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.00046753883361816406
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005545616149902344
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.00045108795166015625
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.00040721893310546875
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005383491516113281
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005819797515869141
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0004372596740722656
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0004296302795410156
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0004203319549560547
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0003902912139892578
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005853176116943359
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005412101745605469
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005533695220947266
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005636215209960938
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005815029144287109
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0006685256958007812
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0005488395690917969
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0006783008575439453
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0004639625549316406
Fixed Point,"""sin(x) + cos(x) + 1""",20,"[1.1, 4.0]",-1.5707956655284125,0.0003807544708251953
